timestamp,emotion,video_name
2026-01-30 15:51:12,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:12,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:13,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:14,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:15,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:15,Neutral,01-01-01-01-01-02-05.mp4
2026-01-30 15:51:15,Neutral,01-01-01-01-01-02-05.mp4
